Name,Type,Forward_MACs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/stages/stages.1/blocks/blocks.2/main/inverted_conv/act/HardSwish,HardSwish,3317760,0.05%,5308416,0.48%,0,0.00%,1x512x36x36,1x512x36x36
/stages/stages.1/blocks/blocks.2/main/depth_conv/conv/Conv,Conv,6635520,0.10%,5328896,0.49%,5120,0.01%,1x512x36x36,1x512x36x36
/stages/stages.1/blocks/blocks.2/main/depth_conv/act/HardSwish,HardSwish,3317760,0.05%,5308416,0.48%,0,0.00%,1x512x36x36,1x512x36x36
/stages/stages.1/blocks/blocks.2/main/point_conv/conv/Conv,Conv,85100544,1.27%,1589760,0.15%,65664,0.14%,1x512x36x36,1x128x36x36
/stages/stages.1/blocks/blocks.2/Add,Add,165888,0.00%,1327104,0.12%,0,0.00%,1x128x36x36,1x128x36x36
/stages/stages.1/blocks/blocks.3/main/inverted_conv/conv/Conv,Conv,85598208,1.27%,5572608,0.51%,66048,0.14%,1x128x36x36,1x512x36x36
/stages/stages.1/blocks/blocks.3/main/inverted_conv/act/HardSwish,HardSwish,3317760,0.05%,5308416,0.48%,0,0.00%,1x512x36x36,1x512x36x36
/stages/stages.1/blocks/blocks.3/main/depth_conv/conv/Conv,Conv,6635520,0.10%,5328896,0.49%,5120,0.01%,1x512x36x36,1x512x36x36
/stages/stages.1/blocks/blocks.3/main/depth_conv/act/HardSwish,HardSwish,3317760,0.05%,5308416,0.48%,0,0.00%,1x512x36x36,1x512x36x36
/stages/stages.1/blocks/blocks.3/main/point_conv/conv/Conv,Conv,85100544,1.27%,1589760,0.15%,65664,0.14%,1x512x36x36,1x128x36x36
/stages/stages.1/blocks/blocks.3/Add,Add,165888,0.00%,1327104,0.12%,0,0.00%,1x128x36x36,1x128x36x36
/stages/stages.1/blocks/blocks.4/main/inverted_conv/conv/Conv,Conv,85598208,1.27%,5572608,0.51%,66048,0.14%,1x128x36x36,1x512x36x36
/stages/stages.1/blocks/blocks.4/main/inverted_conv/act/HardSwish,HardSwish,3317760,0.05%,5308416,0.48%,0,0.00%,1x512x36x36,1x512x36x36
/stages/stages.1/blocks/blocks.4/main/depth_conv/conv/Conv,Conv,6635520,0.10%,5328896,0.49%,5120,0.01%,1x512x36x36,1x512x36x36
/stages/stages.1/blocks/blocks.4/main/depth_conv/act/HardSwish,HardSwish,3317760,0.05%,5308416,0.48%,0,0.00%,1x512x36x36,1x512x36x36
/stages/stages.1/blocks/blocks.4/main/point_conv/conv/Conv,Conv,85100544,1.27%,1589760,0.15%,65664,0.14%,1x512x36x36,1x128x36x36
/stages/stages.1/blocks/blocks.4/Add,Add,165888,0.00%,1327104,0.12%,0,0.00%,1x128x36x36,1x128x36x36
/stages/stages.1/blocks/blocks.5/main/inverted_conv/conv/Conv,Conv,85598208,1.27%,5572608,0.51%,66048,0.14%,1x128x36x36,1x512x36x36
/stages/stages.1/blocks/blocks.5/main/inverted_conv/act/HardSwish,HardSwish,3317760,0.05%,5308416,0.48%,0,0.00%,1x512x36x36,1x512x36x36
/stages/stages.1/blocks/blocks.5/main/depth_conv/conv/Conv,Conv,6635520,0.10%,5328896,0.49%,5120,0.01%,1x512x36x36,1x512x36x36
/stages/stages.1/blocks/blocks.5/main/depth_conv/act/HardSwish,HardSwish,3317760,0.05%,5308416,0.48%,0,0.00%,1x512x36x36,1x512x36x36
/stages/stages.1/blocks/blocks.5/main/point_conv/conv/Conv,Conv,85100544,1.27%,1589760,0.15%,65664,0.14%,1x512x36x36,1x128x36x36
/stages/stages.1/blocks/blocks.5/Add,Add,165888,0.00%,1327104,0.12%,0,0.00%,1x128x36x36,1x128x36x36
/stages/stages.2/blocks/blocks.0/main/inverted_conv/conv/Conv,Conv,85598208,1.27%,5572608,0.51%,66048,0.14%,1x128x36x36,1x512x36x36
/stages/stages.2/blocks/blocks.0/main/inverted_conv/act/HardSwish,HardSwish,3317760,0.05%,5308416,0.48%,0,0.00%,1x512x36x36,1x512x36x36
/stages/stages.2/blocks/blocks.0/main/depth_conv/conv/Conv,Conv,1658880,0.02%,1347584,0.12%,5120,0.01%,1x512x36x36,1x512x18x18
/stages/stages.2/blocks/blocks.0/main/depth_conv/act/HardSwish,HardSwish,829440,0.01%,1327104,0.12%,0,0.00%,1x512x18x18,1x512x18x18
/stages/stages.2/blocks/blocks.0/main/point_conv/conv/Conv,Conv,42550272,0.63%,1188864,0.11%,131328,0.27%,1x512x18x18,1x256x18x18
/stages/stages.2/blocks/blocks.1/context_module/main/Shape,Shape,0,0.00%,32,0.00%,0,0.00%,1x256x18x18,4
/stages/stages.2/blocks/blocks.1/context_module/main/Gather,Gather,0,0.00%,0,0.00%,0,0.00%,4,0
/stages/stages.2/blocks/blocks.1/context_module/main/qkv/conv/Conv,Conv,63700992,0.95%,2777088,0.25%,196608,0.40%,1x256x18x18,1x768x18x18
/stages/stages.2/blocks/blocks.1/context_module/main/aggreg.0/aggreg.0.0/Conv,Conv,6220800,0.09%,2067456,0.19%,19200,0.04%,1x768x18x18,1x768x18x18
/stages/stages.2/blocks/blocks.1/context_module/main/aggreg.0/aggreg.0.1/Conv,Conv,7962624,0.12%,2088960,0.19%,24576,0.05%,1x768x18x18,1x768x18x18
/stages/stages.2/blocks/blocks.1/context_module/main/Concat,Concat,0,0.00%,3981312,0.36%,0,0.00%,1x768x18x18,1x1536x18x18
/stages/stages.2/blocks/blocks.1/context_module/main/Unsqueeze,Unsqueeze,0,0.00%,16,0.00%,1,0.00%,0,1
/stages/stages.2/blocks/blocks.1/context_module/main/Concat_1,Concat,0,0.00%,56,0.00%,3,0.00%,1,4
/stages/stages.2/blocks/blocks.1/context_module/main/Reshape,Reshape,0,0.00%,3981312,0.36%,0,0.00%,1x1536x18x18,1x16x96x324
/stages/stages.2/blocks/blocks.1/context_module/main/Transpose,Transpose,0,0.00%,3981312,0.36%,0,0.00%,1x16x96x324,1x16x324x96
/stages/stages.2/blocks/blocks.1/context_module/main/Shape_3,Shape,0,0.00%,32,0.00%,0,0.00%,1x16x324x96,4
/stages/stages.2/blocks/blocks.1/context_module/main/Gather_3,Gather,0,0.00%,8,0.00%,0,0.00%,4,1
/stages/stages.2/blocks/blocks.1/context_module/main/Add,Add,1,0.00%,16,0.00%,1,0.00%,1,1
