Name                                                                            Type                Forward_MACs    FPercent    Memory         MPercent    Params      PPercent    InShape        OutShape
/stages/stages.1/blocks/blocks.1/main/depth_conv/act/HardSwish                  HardSwish           3,317,760       0.05%       5,308,416      0.48%       0           0.00%       1x512x36x36    1x512x36x36
/stages/stages.1/blocks/blocks.1/main/point_conv/conv/Conv                      Conv                85,100,544      1.27%       1,589,760      0.15%       65,664      0.14%       1x512x36x36    1x128x36x36
/stages/stages.1/blocks/blocks.1/Add                                            Add                 165,888         0.00%       1,327,104      0.12%       0           0.00%       1x128x36x36    1x128x36x36
/stages/stages.1/blocks/blocks.2/main/inverted_conv/conv/Conv                   Conv                85,598,208      1.27%       5,572,608      0.51%       66,048      0.14%       1x128x36x36    1x512x36x36
/stages/stages.1/blocks/blocks.2/main/inverted_conv/act/HardSwish               HardSwish           3,317,760       0.05%       5,308,416      0.48%       0           0.00%       1x512x36x36    1x512x36x36
/stages/stages.1/blocks/blocks.2/main/depth_conv/conv/Conv                      Conv                6,635,520       0.10%       5,328,896      0.49%       5,120       0.01%       1x512x36x36    1x512x36x36
/stages/stages.1/blocks/blocks.2/main/depth_conv/act/HardSwish                  HardSwish           3,317,760       0.05%       5,308,416      0.48%       0           0.00%       1x512x36x36    1x512x36x36
/stages/stages.1/blocks/blocks.2/main/point_conv/conv/Conv                      Conv                85,100,544      1.27%       1,589,760      0.15%       65,664      0.14%       1x512x36x36    1x128x36x36
/stages/stages.1/blocks/blocks.2/Add                                            Add                 165,888         0.00%       1,327,104      0.12%       0           0.00%       1x128x36x36    1x128x36x36
/stages/stages.1/blocks/blocks.3/main/inverted_conv/conv/Conv                   Conv                85,598,208      1.27%       5,572,608      0.51%       66,048      0.14%       1x128x36x36    1x512x36x36
/stages/stages.1/blocks/blocks.3/main/inverted_conv/act/HardSwish               HardSwish           3,317,760       0.05%       5,308,416      0.48%       0           0.00%       1x512x36x36    1x512x36x36
/stages/stages.1/blocks/blocks.3/main/depth_conv/conv/Conv                      Conv                6,635,520       0.10%       5,328,896      0.49%       5,120       0.01%       1x512x36x36    1x512x36x36
/stages/stages.1/blocks/blocks.3/main/depth_conv/act/HardSwish                  HardSwish           3,317,760       0.05%       5,308,416      0.48%       0           0.00%       1x512x36x36    1x512x36x36
/stages/stages.1/blocks/blocks.3/main/point_conv/conv/Conv                      Conv                85,100,544      1.27%       1,589,760      0.15%       65,664      0.14%       1x512x36x36    1x128x36x36
/stages/stages.1/blocks/blocks.3/Add                                            Add                 165,888         0.00%       1,327,104      0.12%       0           0.00%       1x128x36x36    1x128x36x36
/stages/stages.1/blocks/blocks.4/main/inverted_conv/conv/Conv                   Conv                85,598,208      1.27%       5,572,608      0.51%       66,048      0.14%       1x128x36x36    1x512x36x36
/stages/stages.1/blocks/blocks.4/main/inverted_conv/act/HardSwish               HardSwish           3,317,760       0.05%       5,308,416      0.48%       0           0.00%       1x512x36x36    1x512x36x36
/stages/stages.1/blocks/blocks.4/main/depth_conv/conv/Conv                      Conv                6,635,520       0.10%       5,328,896      0.49%       5,120       0.01%       1x512x36x36    1x512x36x36
/stages/stages.1/blocks/blocks.4/main/depth_conv/act/HardSwish                  HardSwish           3,317,760       0.05%       5,308,416      0.48%       0           0.00%       1x512x36x36    1x512x36x36
/stages/stages.1/blocks/blocks.4/main/point_conv/conv/Conv                      Conv                85,100,544      1.27%       1,589,760      0.15%       65,664      0.14%       1x512x36x36    1x128x36x36
/stages/stages.1/blocks/blocks.4/Add                                            Add                 165,888         0.00%       1,327,104      0.12%       0           0.00%       1x128x36x36    1x128x36x36
/stages/stages.1/blocks/blocks.5/main/inverted_conv/conv/Conv                   Conv                85,598,208      1.27%       5,572,608      0.51%       66,048      0.14%       1x128x36x36    1x512x36x36
/stages/stages.1/blocks/blocks.5/main/inverted_conv/act/HardSwish               HardSwish           3,317,760       0.05%       5,308,416      0.48%       0           0.00%       1x512x36x36    1x512x36x36
/stages/stages.1/blocks/blocks.5/main/depth_conv/conv/Conv                      Conv                6,635,520       0.10%       5,328,896      0.49%       5,120       0.01%       1x512x36x36    1x512x36x36
/stages/stages.1/blocks/blocks.5/main/depth_conv/act/HardSwish                  HardSwish           3,317,760       0.05%       5,308,416      0.48%       0           0.00%       1x512x36x36    1x512x36x36
/stages/stages.1/blocks/blocks.5/main/point_conv/conv/Conv                      Conv                85,100,544      1.27%       1,589,760      0.15%       65,664      0.14%       1x512x36x36    1x128x36x36
