Name                                                                       Type                Forward_MACs    FPercent    Memory         MPercent    Params      PPercent    InShape        OutShape
/backbone/stages.1/op_list.1/main/point_conv/conv/Conv                     Conv                85,100,544      1.29%       1,589,760      0.15%       65,664      0.14%       1x512x36x36    1x128x36x36
/backbone/stages.1/op_list.1/Add                                           Add                 165,888         0.00%       1,327,104      0.13%       0           0.00%       1x128x36x36    1x128x36x36
/backbone/stages.1/op_list.2/main/inverted_conv/conv/Conv                  Conv                85,598,208      1.30%       5,572,608      0.54%       66,048      0.14%       1x128x36x36    1x512x36x36
/backbone/stages.1/op_list.2/main/inverted_conv/act/Relu                   Relu                663,552         0.01%       5,308,416      0.51%       0           0.00%       1x512x36x36    1x512x36x36
/backbone/stages.1/op_list.2/main/depth_conv/conv/Conv                     Conv                6,635,520       0.10%       5,328,896      0.51%       5,120       0.01%       1x512x36x36    1x512x36x36
/backbone/stages.1/op_list.2/main/depth_conv/act/Relu                      Relu                663,552         0.01%       5,308,416      0.51%       0           0.00%       1x512x36x36    1x512x36x36
/backbone/stages.1/op_list.2/main/point_conv/conv/Conv                     Conv                85,100,544      1.29%       1,589,760      0.15%       65,664      0.14%       1x512x36x36    1x128x36x36
/backbone/stages.1/op_list.2/Add                                           Add                 165,888         0.00%       1,327,104      0.13%       0           0.00%       1x128x36x36    1x128x36x36
/backbone/stages.1/op_list.3/main/inverted_conv/conv/Conv                  Conv                85,598,208      1.30%       5,572,608      0.54%       66,048      0.14%       1x128x36x36    1x512x36x36
/backbone/stages.1/op_list.3/main/inverted_conv/act/Relu                   Relu                663,552         0.01%       5,308,416      0.51%       0           0.00%       1x512x36x36    1x512x36x36
/backbone/stages.1/op_list.3/main/depth_conv/conv/Conv                     Conv                6,635,520       0.10%       5,328,896      0.51%       5,120       0.01%       1x512x36x36    1x512x36x36
/backbone/stages.1/op_list.3/main/depth_conv/act/Relu                      Relu                663,552         0.01%       5,308,416      0.51%       0           0.00%       1x512x36x36    1x512x36x36
/backbone/stages.1/op_list.3/main/point_conv/conv/Conv                     Conv                85,100,544      1.29%       1,589,760      0.15%       65,664      0.14%       1x512x36x36    1x128x36x36
/backbone/stages.1/op_list.3/Add                                           Add                 165,888         0.00%       1,327,104      0.13%       0           0.00%       1x128x36x36    1x128x36x36
/backbone/stages.1/op_list.4/main/inverted_conv/conv/Conv                  Conv                85,598,208      1.30%       5,572,608      0.54%       66,048      0.14%       1x128x36x36    1x512x36x36
/backbone/stages.1/op_list.4/main/inverted_conv/act/Relu                   Relu                663,552         0.01%       5,308,416      0.51%       0           0.00%       1x512x36x36    1x512x36x36
/backbone/stages.1/op_list.4/main/depth_conv/conv/Conv                     Conv                6,635,520       0.10%       5,328,896      0.51%       5,120       0.01%       1x512x36x36    1x512x36x36
/backbone/stages.1/op_list.4/main/depth_conv/act/Relu                      Relu                663,552         0.01%       5,308,416      0.51%       0           0.00%       1x512x36x36    1x512x36x36
/backbone/stages.1/op_list.4/main/point_conv/conv/Conv                     Conv                85,100,544      1.29%       1,589,760      0.15%       65,664      0.14%       1x512x36x36    1x128x36x36
/backbone/stages.1/op_list.4/Add                                           Add                 165,888         0.00%       1,327,104      0.13%       0           0.00%       1x128x36x36    1x128x36x36
/backbone/stages.1/op_list.5/main/inverted_conv/conv/Conv                  Conv                85,598,208      1.30%       5,572,608      0.54%       66,048      0.14%       1x128x36x36    1x512x36x36
/backbone/stages.1/op_list.5/main/inverted_conv/act/Relu                   Relu                663,552         0.01%       5,308,416      0.51%       0           0.00%       1x512x36x36    1x512x36x36
/backbone/stages.1/op_list.5/main/depth_conv/conv/Conv                     Conv                6,635,520       0.10%       5,328,896      0.51%       5,120       0.01%       1x512x36x36    1x512x36x36
/backbone/stages.1/op_list.5/main/depth_conv/act/Relu                      Relu                663,552         0.01%       5,308,416      0.51%       0           0.00%       1x512x36x36    1x512x36x36
